Year,Month,New Registrations,Registration Completion Rate,Total Registered Workers (End of Month),Welfare Claims Filed,Claims Settled,Success Rate (Claims),Renewal Rate,Drop-off Rate,Avg. Time to Register (days)
2022,Jan,6200,85%,250000,1850,1600,86%,75%,10%,3
2022,Feb,5800,83%,255800,1700,1450,85%,72%,12%,3
2022,Mar,7100,86%,262900,2000,1730,87%,74%,10%,3
2022,Apr,6500,84%,269400,1950,1640,84%,76%,10%,4
2022,May,5900,85%,275300,1800,1570,87%,73%,11%,4
2022,Jun,6800,82%,282100,2100,1800,86%,71%,13%,3
2022,Jul,7200,86%,289300,2050,1760,86%,74%,12%,3
2022,Aug,6400,84%,295700,2200,1900,86%,72%,13%,3
2022,Sep,7400,85%,303100,2300,1950,85%,70%,14%,4
2022,Oct,6900,85%,310000,2150,1850,86%,73%,12%,3
2022,Nov,6500,84%,316500,1900,1640,86%,72%,13%,3
2022,Dec,7100,86%,323600,2050,1780,87%,74%,12%,4
2023,Jan,6300,85%,329900,2100,1840,88%,78%,10%,3
2023,Feb,6700,84%,336600,2050,1720,84%,74%,11%,3
2023,Mar,7400,86%,344000,2200,1920,87%,76%,11%,3
2023,Apr,6600,85%,350600,2050,1750,85%,75%,12%,4
2023,May,6300,83%,356900,1980,1680,85%,74%,11%,4
2023,Jun,7100,86%,364000,2150,1870,87%,77%,12%,3
2023,Jul,7500,87%,371500,2300,2000,87%,79%,10%,3
2023,Aug,6900,85%,378400,2150,1850,86%,76%,12%,3
2023,Sep,7600,86%,386000,2300,1980,86%,74%,13%,4
2023,Oct,7200,84%,393200,2100,1820,87%,75%,11%,3
2023,Nov,6700,85%,399900,2050,1780,87%,77%,10%,3
2023,Dec,7300,86%,407200,2200,1900,86%,78%,10%,3
2024,Jan,7000,85%,414200,2300,1950,85%,77%,12%,3
2024,Feb,6900,84%,421100,2100,1780,85%,75%,13%,3
2024,Mar,7400,85%,428500,2250,1920,85%,74%,13%,3
2024,Apr,7000,83%,435500,2100,1750,83%,72%,14%,4
2024,May,6600,85%,442100,2000,1700,85%,73%,13%,4
2024,Jun,7200,86%,449300,2250,1900,84%,75%,12%,3
2024,Jul,7600,86%,456900,2350,2000,85%,76%,12%,3
2024,Aug,6800,84%,463700,2100,1780,85%,74%,12%,3
2024,Sep,7500,85%,471200,2300,1900,83%,73%,14%,4
2024,Oct,7300,86%,478500,2200,1850,84%,76%,13%,3
2024,Nov,6900,84%,485400,2050,1740,85%,75%,12%,3
2024,Dec,7300,86%,492700,2300,1900,83%,77%,11%,3
